Date,Winner,Loser,Outcome,Location,Reporter,Notes,Score
2023-01-08,shane,patrick,2-1,Norm's,Shane,,
2023-01-08,brandon,shane,2-1,Norm's,Shane,,
2023-01-08,thomas,shane,2-1,Norm's,Shane,,
2023-01-10,brandon,shane,2-0,Pong Detroit (Bert's),Shane,,
2023-01-10,brandon,shane,2-0,Pong Detroit (Bert's),Shane,,
2023-01-10,brandon,shane,2-1,Pong Detroit (Bert's),Shane,,
2023-01-10,mal,shane,2-1,Pong Detroit (Bert's),Shane,,
2023-01-10,shane,robert,2-1,Pong Detroit (Bert's),Shane,,
2023-01-10,mal,shane,2-0,Pong Detroit (Bert's),Shane,,
2023-01-10,shane,mal,2-0,Pong Detroit (Bert's),Shane,,
2023-01-12,shane,ari,3-2,Pong Detroit (Bert's),Shane,,
2023-01-12,mal,shane,2-0,Pong Detroit (Bert's),Shane,,
2023-01-15,shane,norm,2-1,Norm's,Shane,,
2023-01-15,shane,karen,2-0,Norm's,Shane,,
2023-01-15,shane,mal,2-0,Norm's,Shane,,
2023-01-15,brandon,shane,2-0,Norm's,Shane,,
2023-01-15,brandon,shane,3-2,Norm's,Shane,,
2023-01-15,brandon,mal,2-0,Norm's,Shane,,
2023-01-15,thomas,shane,2-0,Norm's,Shane,,
2023-01-15,norm,thomas,2-0,Norm's,Shane,,
2023-01-15,shane,norm,2-0,Norm's,Shane,,
2023-01-17,shane,mal,2-0,Pong Detroit (Bert's),Shane,,
2023-01-17,brandon,shane,2-1,Pong Detroit (Bert's),Shane,,
2023-01-17,brandon,mal,2-0,Pong Detroit (Bert's),Shane,,
2023-01-17,benji,andy,2-0,Pong Detroit (Bert's),Shane,,
2023-01-17,mal,benji,2-0,Pong Detroit (Bert's),Shane,,
2023-01-17,brandon,shane,2-1,Pong Detroit (Bert's),Shane,,
2023-01-17,mal,shane,2-0,Pong Detroit (Bert's),Shane,,
2023-01-17,mal,shane,2-0,Pong Detroit (Bert's),Shane,,
2023-01-17,benji,andy,2-1,Pong Detroit (Bert's),Shane,,
2023-01-17,andy,benji,2-0,Pong Detroit (Bert's),Shane,,
2023-01-17,benji,andy,2-0,Pong Detroit (Bert's),Shane,,
2023-01-18,motaz s,shane,3-0,Viet Detroit (Grace Parish Warren),Shane,,
2023-01-18,ying k,shane,3-1,Viet Detroit (Grace Parish Warren),Shane,,
2023-01-18,ying k,shane,3-0,Viet Detroit (Grace Parish Warren),Shane,,
2023-01-18,narayan,shane,3-0,Viet Detroit (Grace Parish Warren),Shane,,
2023-01-18,mal,thomas,2-1,Pong Detroit (Bert's),Mal,,
2023-01-18,brandon,thomas,2-1,Pong Detroit (Bert's),Mal,,
2023-01-18,brandon,mal,2-0,Pong Detroit (Bert's),Mal,,
2023-01-18,brandon,thomas,2-1,Pong Detroit (Bert's),Mal,,
2023-01-18,mal,thomas,2-1,Pong Detroit (Bert's),Mal,,
2023-01-19,shane,norm,2-0,Pong Detroit (Bert's),Shane,,
2023-01-19,shane,amos,2-0,Pong Detroit (Bert's),Shane,,
2023-01-19,mal,shane,2-0,Pong Detroit (Bert's),Shane,,
2023-01-19,brandon,norm,2-0,Pong Detroit (Bert's),Shane,,
2023-01-19,shane,thomas,2-0,Pong Detroit (Bert's),Shane,,
2023-01-21,shane,doug,2-0,MTTA (Sparc Arena Novi),Shane,,
2023-01-21,mostofa m,brandon,3-0,MTTA (Sparc Arena Novi),Shane,,
2023-01-21,brandon,shane,2-0,MTTA (Sparc Arena Novi),Shane,,
2023-01-21,tony n,shane,2-1,MTTA (Sparc Arena Novi),Shane,Tony N: short pips & defensive,
2023-01-22,shane,guna,2-0,Norm's,Shane,,
2023-01-22,shane,norm,2-1,Norm's,Shane,,
2023-01-22,guna,clay s,2-1,Norm's,Shane,,
2023-01-22,guna,norm,2-1,Norm's,Shane,,
2023-01-22,amos,clay s,2-1,Norm's,Shane,,
2023-01-22,shane,guna,2-0,Norm's,Shane,,
2023-01-22,shane,amos,2-0,Norm's,Shane,,
2023-01-22,shane,benji,2-0,Norm's,Shane,,
2023-01-22,shane,clay s,2-0,Norm's,Shane,,
2023-01-22,brandon,shane,2-0,Norm's,Shane,,
2023-01-22,brandon,guna,2-0,Norm's,Shane,,
2023-01-22,benji,amos,2-0,Norm's,Shane,,
2023-01-23,cristian p,shane,3-0,Viet Detroit (Grace Parish Warren),Shane,,
2023-01-23,anu k,shane,3-0,Viet Detroit (Grace Parish Warren),Shane,,
2023-01-23,anu k,shane,3-0,Viet Detroit (Grace Parish Warren),Shane,,
2023-01-23,anu k,shane,3-0,Viet Detroit (Grace Parish Warren),Shane,,
2023-01-23,shane,ahmad s,3-1,Viet Detroit (Grace Parish Warren),Shane,,
2023-01-24,shane,norm,2-0,Pong Detroit (Bert's),Shane,,
2023-01-24,shane,norm,2-0,Pong Detroit (Bert's),Shane,,
